Date,Country,Rank,Artist,Track
2026-06-01,Saudi Arabia,5,Drake,Janice STFU
2026-06-01,United Arab Emirates,1,Malcolm Todd,Earrings
2026-06-01,United Arab Emirates,2,Drake,Janice STFU
2026-06-01,United Arab Emirates,3,PinkPantheress,Stateside + Zara Larsson
2026-06-01,United Arab Emirates,4,F3miii,NOBLE
2026-06-01,United Arab Emirates,5,Michael Jackson,Chicago
2026-06-01,Taiwan,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Taiwan,2,Olivia Rodrigo,drop dead
2026-06-01,Taiwan,3,Ariana Grande,hate that i made you love me
2026-06-01,Taiwan,4,NMIXX,Heavy Serenade
2026-06-01,Taiwan,5,Justin Bieber,Beauty and a Beat
2026-06-01,Ecuador,1,BTS,SWIM
2026-06-01,Ecuador,2,BTS,2.0
2026-06-01,Ecuador,3,BTS,Body to Body
2026-06-01,Ecuador,4,BTS,Hooligan
2026-06-01,Ecuador,5,BTS,FYA
2026-06-01,Venezuela,1,BTS,Body to Body
2026-06-01,Venezuela,2,BTS,SWIM
2026-06-01,Venezuela,3,BTS,Hooligan
2026-06-01,Venezuela,4,BTS,2.0
2026-06-01,Venezuela,5,BTS,FYA
2026-06-01,Uruguay,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Uruguay,2,Olivia Rodrigo,drop dead
2026-06-01,Uruguay,3,BTS,SWIM
2026-06-01,Uruguay,4,BTS,Hooligan
2026-06-01,Uruguay,5,BTS,Body to Body
2026-06-01,Costa Rica,1,BTS,Body to Body
2026-06-01,Costa Rica,2,BTS,Hooligan
2026-06-01,Costa Rica,3,BTS,SWIM
2026-06-01,Costa Rica,4,BTS,2.0
2026-06-01,Costa Rica,5,BTS,they don’t know ’bout us
2026-06-01,Panama,1,BTS,SWIM
2026-06-01,Panama,2,BTS,Hooligan
2026-06-01,Panama,3,BTS,2.0
2026-06-01,Panama,4,BTS,Body to Body
2026-06-01,Panama,5,BTS,they don’t know ’bout us
2026-06-01,Dominican Republic,1,BTS,SWIM
2026-06-01,Dominican Republic,2,BTS,Body to Body
2026-06-01,Dominican Republic,3,BTS,2.0
2026-06-01,Dominican Republic,4,BTS,Hooligan
2026-06-01,Dominican Republic,5,BTS,FYA
2026-06-01,Jamaica,1,Malcolm Todd,Earrings
2026-06-01,Jamaica,2,Michael Jackson,Chicago
2026-06-01,Jamaica,3,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Jamaica,4,Ariana Grande,hate that i made you love me
2026-06-01,Jamaica,5,Drake,Janice STFU
2026-06-01,Iceland,1,Drake,Janice STFU
2026-06-01,Iceland,2,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Iceland,3,Aron Can,Sárabót
2026-06-01,Iceland,4,Malcolm Todd,Earrings
2026-06-01,Iceland,5,Michael Jackson,Billie Jean
2026-06-01,Croatia,1,Buba Corelli,Topovska
2026-06-01,Croatia,2,Jala Brat,Bass & Rave
2026-06-01,Croatia,3,Jala Brat,Ajkula
2026-06-01,Croatia,4,Jala Brat,Godzilla
2026-06-01,Croatia,5,Jala Brat,Vampiri
2026-06-01,Serbia,1,Buba Corelli,Topovska
2026-06-01,Serbia,2,Jala Brat,Bass & Rave
2026-06-01,Serbia,3,Jala Brat,Ajkula
2026-06-01,Serbia,4,Jala Brat,Godzilla
2026-06-01,Serbia,5,Jala Brat,Mufasa
2026-06-01,Bulgaria,1,Dara,Bangaranga
2026-06-01,Bulgaria,2,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Bulgaria,3,Olivia Rodrigo,tHe CuRe
2026-06-01,Bulgaria,4,MBT,Orient Express
2026-06-01,Bulgaria,5,Ariana Grande,hate that i made you love me
2026-06-01,Romania,1,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Romania,2,Alexandra Căpitănescu,Choke Me
2026-06-01,Romania,3,Michael Jackson,Chicago
2026-06-01,Romania,4,Michael Jackson,Billie Jean
2026-06-01,Romania,5,Vanilla,TRECI PESTE
2026-06-01,Slovakia,1,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Slovakia,2,Olivia Rodrigo,tHe CuRe
2026-06-01,Slovakia,3,Justin Bieber,Beauty and a Beat
2026-06-01,Slovakia,4,Dominic Fike,Babydoll
2026-06-01,Slovakia,5,Malcolm Todd,Earrings
2026-06-01,Czech Republic,1,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Czech Republic,2,Olivia Rodrigo,tHe CuRe
2026-06-01,Czech Republic,3,Justin Bieber,Beauty and a Beat
2026-06-01,Czech Republic,4,Dominic Fike,Babydoll
2026-06-01,Czech Republic,5,Zara Larsson,Lush Life
2026-06-01,Hungary,1,ANUBII$,EMELEM A TÉTET
2026-06-01,Hungary,2,beton.hofi,BE VAGYOK ZÁRVA
2026-06-01,Hungary,3,beton.hofi,MIRE SZÁMÍTOTTÁL
